AÑO,CVE_ENT,ENTIDAD,CVE_MUN,MUNICIPIO,CVE_DDR,DISTRITO,CVE_CADER,CADER,CVE_CICLO,CICLE,CVE_MODALIDAD,MODALIDAD,CVE_UNIDAD,UNIDAD_MEDIDA,CVE_CULTIVO,CULTIVO,SUPERFICIE_SEMBRADA,SUPERFICIE_COSECHADA,SUPERFICIE_SINIESTRADA,VOLUMEN_PRODUCCION,RENDIMIENTO,PRECIO,VALOR_PRODUCCION
1980,18,Nayarit,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,534.0,460.0,0.0,2300.0,5.0,10.65,24496.0
1980,18,Nayarit,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,1263.0,1198.0,0.0,5804.0,4.84,10.65,61813.0
1980,19,Nuevo León,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,1480.0,1235.0,0.0,4819.0,3.9,22.1,106500.0
1980,20,Oaxaca,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,134.0,18.0,0.0,35.0,1.94,20.09,703.0
1980,20,Oaxaca,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,1934.0,1875.0,0.0,36978.0,19.72,20.0,739560.0
1980,21,Puebla,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,1732.0,1723.0,0.0,9358.0,5.43,12.21,114224.0
1980,21,Puebla,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,2870.0,2782.0,0.0,29837.0,10.73,11.65,347720.0
1980,22,Querétaro,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,323.0,194.0,0.0,2180.0,11.24,13.0,28340.0
1980,22,Querétaro,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,261.0,248.0,0.0,1953.0,7.88,13.0,25389.0
1980,24,San Luis Potosí,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,157.0,130.0,0.0,913.0,7.02,16.0,14608.0
1980,25,Sinaloa,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,2598.0,2598.0,0.0,31407.0,12.09,6.0,188442.0
1980,25,Sinaloa,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,248.0,248.0,0.0,2997.0,12.08,6.0,17982.0
1980,26,Sonora,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,33.0,33.0,0.0,413.0,12.52,3.5,1446.0
1980,27,Tabasco,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,310.0,310.0,0.0,930.0,3.0,4.0,3720.0
1980,28,Tamaulipas,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,383.0,309.0,0.0,2380.0,7.7,11.6,27608.0
1980,30,Veracruz,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,17.0,10.0,0.0,80.0,8.0,10.19,815.0
1980,30,Veracruz,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,2949.0,2938.0,0.0,14787.0,5.03,10.09,149200.0
1980,31,Yucatán,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,694.0,636.0,0.0,5473.0,8.61,13.0,71149.0
1980,32,Zacatecas,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,123.0,102.0,0.0,416.0,4.08,10.57,4397.0
1981,1,Aguascalientes,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,53.0,51.0,0.0,490.0,9.61,19.17,9392.0
1981,3,Baja California Sur,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,264.0,217.0,0.0,315.0,1.45,16.07,5062.0
1981,4,Campeche,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,264.0,264.0,0.0,2112.0,8.0,6.0,12672.0
